description,industry,level,size,line_code,value
Impact of not receiving full amount: reducing working hours,total,0,100+ employees,D1103,3
Impact of not receiving full amount: reducing working hours,"Agriculture, forestry, & fishing",1,total,D1103,0
Impact of not receiving full amount: reducing working hours,Agriculture,2,total,D1103,0
Impact of not receiving full amount: reducing working hours,Commercial fishing,2,total,D1103,0
Impact of not receiving full amount: reducing working hours,Forestry & logging,2,total,D1103,0
Impact of not receiving full amount: reducing working hours,"Agriculture, forestry, & fishing support services",2,total,D1103,0
Impact of not receiving full amount: reducing working hours,Mining,1,total,D1103,0
Impact of not receiving full amount: reducing working hours,Manufacturing,1,total,D1103,24
Impact of not receiving full amount: reducing working hours,"Food, beverage, & tobacco",2,total,D1103,12
Impact of not receiving full amount: reducing working hours,"Textile, clothing, footwear, & leather",2,total,D1103,6
Impact of not receiving full amount: reducing working hours,Wood & paper product,2,total,D1103,0
Impact of not receiving full amount: reducing working hours,"Printing, publishing, & recorded media",2,total,D1103,6
Impact of not receiving full amount: reducing working hours,"Petroleum, coal, chemical, & associated product",2,total,D1103,0
Impact of not receiving full amount: reducing working hours,Non-metallic mineral product,2,total,D1103,0
Impact of not receiving full amount: reducing working hours,Metal product,2,total,D1103,0
Impact of not receiving full amount: reducing working hours,Transport and industrial machinery & equipment,2,total,D1103,0
Impact of not receiving full amount: reducing working hours,Other machinery & equipment,2,total,D1103,0
Impact of not receiving full amount: reducing working hours,Other manufacturing,2,total,D1103,0
Impact of not receiving full amount: reducing working hours,"Electricity, gas, water, & waste services",1,total,D1103,0
Impact of not receiving full amount: reducing working hours,Construction,1,total,D1103,39
Impact of not receiving full amount: reducing working hours,Wholesale trade,1,total,D1103,0
Impact of not receiving full amount: reducing working hours,Machinery & equipment wholesaling,2,total,D1103,0
Impact of not receiving full amount: reducing working hours,Other wholesale trade,2,total,D1103,0
Impact of not receiving full amount: reducing working hours,Retail trade,1,total,D1103,0
Impact of not receiving full amount: reducing working hours,Accommodation & food services,1,total,D1103,309
Impact of not receiving full amount: reducing working hours,"Transport, postal, & warehousing",1,total,D1103,12
Impact of not receiving full amount: reducing working hours,Information media & telecommunications,1,total,D1103,0
Impact of not receiving full amount: reducing working hours,Publishing,2,total,D1103,0
Impact of not receiving full amount: reducing working hours,Motion picture,2,total,D1103,0
Impact of not receiving full amount: reducing working hours,Telecommunications,2,total,D1103,0
Impact of not receiving full amount: reducing working hours,Financial & insurance services,1,total,D1103,0
Impact of not receiving full amount: reducing working hours,Finance,2,total,D1103,0
Impact of not receiving full amount: reducing working hours,Insurance,2,total,D1103,0
Impact of not receiving full amount: reducing working hours,Auxiliary,2,total,D1103,0
Impact of not receiving full amount: reducing working hours,"Rental, hiring, & real estate services",1,total,D1103,0
Impact of not receiving full amount: reducing working hours,"Professional, scientific, & technical services",1,total,D1103,24
Impact of not receiving full amount: reducing working hours,Computer systems design,2,total,D1103,3
Impact of not receiving full amount: reducing working hours,Other professional scientific,2,total,D1103,24
Impact of not receiving full amount: reducing working hours,Administrative & support services,1,total,D1103,18
Impact of not receiving full amount: reducing working hours,Education & training,1,total,D1103,3
Impact of not receiving full amount: reducing working hours,Health care & social assistance,1,total,D1103,27
Impact of not receiving full amount: reducing working hours,Arts & recreation services,1,total,D1103,6
Impact of not receiving full amount: reducing working hours,Other services,1,total,D1103,0
Impact of not receiving full amount: reducing working hours,total,0,total,D1103,468
Impact of not receiving full amount: reducing output,total,0,6–19 employees,D1104,222
Impact of not receiving full amount: reducing output,total,0,20–49 employees,D1104,9
Impact of not receiving full amount: reducing output,total,0,50–99 employees,D1104,6
Impact of not receiving full amount: reducing output,total,0,100+ employees,D1104,6
Impact of not receiving full amount: reducing output,"Agriculture, forestry, & fishing",1,total,D1104,6
Impact of not receiving full amount: reducing output,Agriculture,2,total,D1104,0
Impact of not receiving full amount: reducing output,Commercial fishing,2,total,D1104,0
Impact of not receiving full amount: reducing output,Forestry & logging,2,total,D1104,0
Impact of not receiving full amount: reducing output,"Agriculture, forestry, & fishing support services",2,total,D1104,9
Impact of not receiving full amount: reducing output,Mining,1,total,D1104,3
Impact of not receiving full amount: reducing output,Manufacturing,1,total,D1104,24
Impact of not receiving full amount: reducing output,"Food, beverage, & tobacco",2,total,D1104,24
Impact of not receiving full amount: reducing output,"Textile, clothing, footwear, & leather",2,total,D1104,0
Impact of not receiving full amount: reducing output,Wood & paper product,2,total,D1104,3
Impact of not receiving full amount: reducing output,"Printing, publishing, & recorded media",2,total,D1104,0
Impact of not receiving full amount: reducing output,"Petroleum, coal, chemical, & associated product",2,total,D1104,0
Impact of not receiving full amount: reducing output,Non-metallic mineral product,2,total,D1104,0
Impact of not receiving full amount: reducing output,Metal product,2,total,D1104,0
Impact of not receiving full amount: reducing output,Transport and industrial machinery & equipment,2,total,D1104,0
Impact of not receiving full amount: reducing output,Other machinery & equipment,2,total,D1104,0
Impact of not receiving full amount: reducing output,Other manufacturing,2,total,D1104,0
Impact of not receiving full amount: reducing output,"Electricity, gas, water, & waste services",1,total,D1104,3
Impact of not receiving full amount: reducing output,Construction,1,total,D1104,0
Impact of not receiving full amount: reducing output,Wholesale trade,1,total,D1104,0
Impact of not receiving full amount: reducing output,Machinery & equipment wholesaling,2,total,D1104,0
Impact of not receiving full amount: reducing output,Other wholesale trade,2,total,D1104,0
Impact of not receiving full amount: reducing output,Retail trade,1,total,D1104,0
Impact of not receiving full amount: reducing output,Accommodation & food services,1,total,D1104,183
Impact of not receiving full amount: reducing output,"Transport, postal, & warehousing",1,total,D1104,12
Impact of not receiving full amount: reducing output,Information media & telecommunications,1,total,D1104,0
Impact of not receiving full amount: reducing output,Publishing,2,total,D1104,0
Impact of not receiving full amount: reducing output,Motion picture,2,total,D1104,0
Impact of not receiving full amount: reducing output,Telecommunications,2,total,D1104,0
Impact of not receiving full amount: reducing output,Financial & insurance services,1,total,D1104,0
Impact of not receiving full amount: reducing output,Finance,2,total,D1104,0
Impact of not receiving full amount: reducing output,Insurance,2,total,D1104,0
Impact of not receiving full amount: reducing output,Auxiliary,2,total,D1104,0
Impact of not receiving full amount: reducing output,"Rental, hiring, & real estate services",1,total,D1104,0
Impact of not receiving full amount: reducing output,"Professional, scientific, & technical services",1,total,D1104,9
Impact of not receiving full amount: reducing output,Computer systems design,2,total,D1104,9
Impact of not receiving full amount: reducing output,Other professional scientific,2,total,D1104,3
Impact of not receiving full amount: reducing output,Administrative & support services,1,total,D1104,0
Impact of not receiving full amount: reducing output,Education & training,1,total,D1104,3
Impact of not receiving full amount: reducing output,Health care & social assistance,1,total,D1104,0
Impact of not receiving full amount: reducing output,Arts & recreation services,1,total,D1104,0
Impact of not receiving full amount: reducing output,Other services,1,total,D1104,0
Impact of not receiving full amount: reducing output,total,0,total,D1104,243
Impact of not receiving full amount: business assets need to be sold,total,0,6–19 employees,D1105,201
Impact of not receiving full amount: business assets need to be sold,total,0,20–49 employees,D1105,21
Impact of not receiving full amount: business assets need to be sold,total,0,50–99 employees,D1105,3
Impact of not receiving full amount: business assets need to be sold,total,0,100+ employees,D1105,6
Impact of not receiving full amount: business assets need to be sold,"Agriculture, forestry, & fishing",1,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,Agriculture,2,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,Commercial fishing,2,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,Forestry & logging,2,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,"Agriculture, forestry, & fishing support services",2,total,D1105,3
Impact of not receiving full amount: business assets need to be sold,Mining,1,total,D1105,3
Impact of not receiving full amount: business assets need to be sold,Manufacturing,1,total,D1105,18
Impact of not receiving full amount: business assets need to be sold,"Food, beverage, & tobacco",2,total,D1105,12
Impact of not receiving full amount: business assets need to be sold,"Textile, clothing, footwear, & leather",2,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,Wood & paper product,2,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,"Printing, publishing, & recorded media",2,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,"Petroleum, coal, chemical, & associated product",2,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,Non-metallic mineral product,2,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,Metal product,2,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,Transport and industrial machinery & equipment,2,total,D1105,6
Impact of not receiving full amount: business assets need to be sold,Other machinery & equipment,2,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,Other manufacturing,2,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,"Electricity, gas, water, & waste services",1,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,Construction,1,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,Wholesale trade,1,total,D1105,3
Impact of not receiving full amount: business assets need to be sold,Machinery & equipment wholesaling,2,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,Other wholesale trade,2,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,Retail trade,1,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,Accommodation & food services,1,total,D1105,123
Impact of not receiving full amount: business assets need to be sold,"Transport, postal, & warehousing",1,total,D1105,51
Impact of not receiving full amount: business assets need to be sold,Information media & telecommunications,1,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,Publishing,2,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,Motion picture,2,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,Telecommunications,2,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,Financial & insurance services,1,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,Finance,2,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,Insurance,2,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,Auxiliary,2,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,"Rental, hiring, & real estate services",1,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,"Professional, scientific, & technical services",1,total,D1105,6
Impact of not receiving full amount: business assets need to be sold,Computer systems design,2,total,D1105,9
Impact of not receiving full amount: business assets need to be sold,Other professional scientific,2,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,Administrative & support services,1,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,Education & training,1,total,D1105,3
Impact of not receiving full amount: business assets need to be sold,Health care & social assistance,1,total,D1105,12
Impact of not receiving full amount: business assets need to be sold,Arts & recreation services,1,total,D1105,6
Impact of not receiving full amount: business assets need to be sold,Other services,1,total,D1105,0
Impact of not receiving full amount: business assets need to be sold,total,0,total,D1105,234
Impact of not receiving full amount: planning to sell business,total,0,6–19 employees,D1106,225
Impact of not receiving full amount: planning to sell business,total,0,20–49 employees,D1106,36
Impact of not receiving full amount: planning to sell business,total,0,50–99 employees,D1106,12
Impact of not receiving full amount: planning to sell business,total,0,100+ employees,D1106,3
Impact of not receiving full amount: planning to sell business,"Agriculture, forestry, & fishing",1,total,D1106,0
Impact of not receiving full amount: planning to sell business,Agriculture,2,total,D1106,0
Impact of not receiving full amount: planning to sell business,Commercial fishing,2,total,D1106,0
Impact of not receiving full amount: planning to sell business,Forestry & logging,2,total,D1106,0
Impact of not receiving full amount: planning to sell business,"Agriculture, forestry, & fishing support services",2,total,D1106,0
Impact of not receiving full amount: planning to sell business,Mining,1,total,D1106,0
Impact of not receiving full amount: planning to sell business,Manufacturing,1,total,D1106,36
Impact of not receiving full amount: planning to sell business,"Food, beverage, & tobacco",2,total,D1106,24
Impact of not receiving full amount: planning to sell business,"Textile, clothing, footwear, & leather",2,total,D1106,3
Impact of not receiving full amount: planning to sell business,Wood & paper product,2,total,D1106,6
Impact of not receiving full amount: planning to sell business,"Printing, publishing, & recorded media",2,total,D1106,3
Impact of not receiving full amount: planning to sell business,"Petroleum, coal, chemical, & associated product",2,total,D1106,0
Impact of not receiving full amount: planning to sell business,Non-metallic mineral product,2,total,D1106,0
Impact of not receiving full amount: planning to sell business,Metal product,2,total,D1106,0
Impact of not receiving full amount: planning to sell business,Transport and industrial machinery & equipment,2,total,D1106,0
Impact of not receiving full amount: planning to sell business,Other machinery & equipment,2,total,D1106,0
Impact of not receiving full amount: planning to sell business,Other manufacturing,2,total,D1106,0
Impact of not receiving full amount: planning to sell business,"Electricity, gas, water, & waste services",1,total,D1106,3
Impact of not receiving full amount: planning to sell business,Construction,1,total,D1106,0
Impact of not receiving full amount: planning to sell business,Wholesale trade,1,total,D1106,9
Impact of not receiving full amount: planning to sell business,Machinery & equipment wholesaling,2,total,D1106,0
Impact of not receiving full amount: planning to sell business,Other wholesale trade,2,total,D1106,9
Impact of not receiving full amount: planning to sell business,Retail trade,1,total,D1106,0
Impact of not receiving full amount: planning to sell business,Accommodation & food services,1,total,D1106,213
Impact of not receiving full amount: planning to sell business,"Transport, postal, & warehousing",1,total,D1106,0
Impact of not receiving full amount: planning to sell business,Information media & telecommunications,1,total,D1106,3
Impact of not receiving full amount: planning to sell business,Publishing,2,total,D1106,0
Impact of not receiving full amount: planning to sell business,Motion picture,2,total,D1106,0
Impact of not receiving full amount: planning to sell business,Telecommunications,2,total,D1106,0
Impact of not receiving full amount: planning to sell business,Financial & insurance services,1,total,D1106,0
Impact of not receiving full amount: planning to sell business,Finance,2,total,D1106,0
Impact of not receiving full amount: planning to sell business,Insurance,2,total,D1106,0
Impact of not receiving full amount: planning to sell business,Auxiliary,2,total,D1106,0
Impact of not receiving full amount: planning to sell business,"Rental, hiring, & real estate services",1,total,D1106,0
Impact of not receiving full amount: planning to sell business,"Professional, scientific, & technical services",1,total,D1106,0
Impact of not receiving full amount: planning to sell business,Computer systems design,2,total,D1106,0
Impact of not receiving full amount: planning to sell business,Other professional scientific,2,total,D1106,3
Impact of not receiving full amount: planning to sell business,Administrative & support services,1,total,D1106,0
Impact of not receiving full amount: planning to sell business,Education & training,1,total,D1106,15
Impact of not receiving full amount: planning to sell business,Health care & social assistance,1,total,D1106,0
Impact of not receiving full amount: planning to sell business,Arts & recreation services,1,total,D1106,0
Impact of not receiving full amount: planning to sell business,Other services,1,total,D1106,0
Impact of not receiving full amount: planning to sell business,total,0,total,D1106,276
Impact of not receiving full amount: other effects,total,0,6–19 employees,D1107,207
Impact of not receiving full amount: other effects,total,0,20–49 employees,D1107,78
Impact of not receiving full amount: other effects,total,0,50–99 employees,D1107,15
Impact of not receiving full amount: other effects,total,0,100+ employees,D1107,12
Impact of not receiving full amount: other effects,"Agriculture, forestry, & fishing",1,total,D1107,15
Impact of not receiving full amount: other effects,Agriculture,2,total,D1107,0
Impact of not receiving full amount: other effects,Commercial fishing,2,total,D1107,0
Impact of not receiving full amount: other effects,Forestry & logging,2,total,D1107,3
Impact of not receiving full amount: other effects,"Agriculture, forestry, & fishing support services",2,total,D1107,15
Impact of not receiving full amount: other effects,Mining,1,total,D1107,0
Impact of not receiving full amount: other effects,Manufacturing,1,total,D1107,66
Impact of not receiving full amount: other effects,"Food, beverage, & tobacco",2,total,D1107,36
Impact of not receiving full amount: other effects,"Textile, clothing, footwear, & leather",2,total,D1107,0
Impact of not receiving full amount: other effects,Wood & paper product,2,total,D1107,6
Impact of not receiving full amount: other effects,"Printing, publishing, & recorded media",2,total,D1107,0
Impact of not receiving full amount: other effects,"Petroleum, coal, chemical, & associated product",2,total,D1107,0
Impact of not receiving full amount: other effects,Non-metallic mineral product,2,total,D1107,3
Impact of not receiving full amount: other effects,Metal product,2,total,D1107,18
Impact of not receiving full amount: other effects,Transport and industrial machinery & equipment,2,total,D1107,0
Impact of not receiving full amount: other effects,Other machinery & equipment,2,total,D1107,3
Impact of not receiving full amount: other effects,Other manufacturing,2,total,D1107,0
Impact of not receiving full amount: other effects,"Electricity, gas, water, & waste services",1,total,D1107,3
Impact of not receiving full amount: other effects,Construction,1,total,D1107,21
Impact of not receiving full amount: other effects,Wholesale trade,1,total,D1107,9
Impact of not receiving full amount: other effects,Machinery & equipment wholesaling,2,total,D1107,9
Impact of not receiving full amount: other effects,Other wholesale trade,2,total,D1107,0
Impact of not receiving full amount: other effects,Retail trade,1,total,D1107,3
Impact of not receiving full amount: other effects,Accommodation & food services,1,total,D1107,72
Impact of not receiving full amount: other effects,"Transport, postal, & warehousing",1,total,D1107,0
Impact of not receiving full amount: other effects,Information media & telecommunications,1,total,D1107,3
Impact of not receiving full amount: other effects,Publishing,2,total,D1107,0
Impact of not receiving full amount: other effects,Motion picture,2,total,D1107,0
Impact of not receiving full amount: other effects,Telecommunications,2,total,D1107,0
Impact of not receiving full amount: other effects,Financial & insurance services,1,total,D1107,3
Impact of not receiving full amount: other effects,Finance,2,total,D1107,0
Impact of not receiving full amount: other effects,Insurance,2,total,D1107,0
Impact of not receiving full amount: other effects,Auxiliary,2,total,D1107,3
Impact of not receiving full amount: other effects,"Rental, hiring, & real estate services",1,total,D1107,12
Impact of not receiving full amount: other effects,"Professional, scientific, & technical services",1,total,D1107,30
Impact of not receiving full amount: other effects,Computer systems design,2,total,D1107,6
Impact of not receiving full amount: other effects,Other professional scientific,2,total,D1107,27
Impact of not receiving full amount: other effects,Administrative & support services,1,total,D1107,9
Impact of not receiving full amount: other effects,Education & training,1,total,D1107,3
Impact of not receiving full amount: other effects,Health care & social assistance,1,total,D1107,45
Impact of not receiving full amount: other effects,Arts & recreation services,1,total,D1107,0
Impact of not receiving full amount: other effects,Other services,1,total,D1107,15
Impact of not receiving full amount: other effects,total,0,total,D1107,312
Impact of not receiving full amount: no effect,total,0,6–19 employees,D1108,747
Impact of not receiving full amount: no effect,total,0,20–49 employees,D1108,108
Impact of not receiving full amount: no effect,total,0,50–99 employees,D1108,33
Impact of not receiving full amount: no effect,total,0,100+ employees,D1108,33
Impact of not receiving full amount: no effect,"Agriculture, forestry, & fishing",1,total,D1108,96
Impact of not receiving full amount: no effect,Agriculture,2,total,D1108,63
Impact of not receiving full amount: no effect,Commercial fishing,2,total,D1108,0
Impact of not receiving full amount: no effect,Forestry & logging,2,total,D1108,3
Impact of not receiving full amount: no effect,"Agriculture, forestry, & fishing support services",2,total,D1108,30
Impact of not receiving full amount: no effect,Mining,1,total,D1108,0
Impact of not receiving full amount: no effect,Manufacturing,1,total,D1108,54
Impact of not receiving full amount: no effect,"Food, beverage, & tobacco",2,total,D1108,18
Impact of not receiving full amount: no effect,"Textile, clothing, footwear, & leather",2,total,D1108,0
Impact of not receiving full amount: no effect,Wood & paper product,2,total,D1108,3
Impact of not receiving full amount: no effect,"Printing, publishing, & recorded media",2,total,D1108,3
Impact of not receiving full amount: no effect,"Petroleum, coal, chemical, & associated product",2,total,D1108,6
Impact of not receiving full amount: no effect,Non-metallic mineral product,2,total,D1108,3
Impact of not receiving full amount: no effect,Metal product,2,total,D1108,0
Impact of not receiving full amount: no effect,Transport and industrial machinery & equipment,2,total,D1108,24
Impact of not receiving full amount: no effect,Other machinery & equipment,2,total,D1108,0
Impact of not receiving full amount: no effect,Other manufacturing,2,total,D1108,3
Impact of not receiving full amount: no effect,"Electricity, gas, water, & waste services",1,total,D1108,3
Impact of not receiving full amount: no effect,Construction,1,total,D1108,45
Impact of not receiving full amount: no effect,Wholesale trade,1,total,D1108,27
Impact of not receiving full amount: no effect,Machinery & equipment wholesaling,2,total,D1108,6
Impact of not receiving full amount: no effect,Other wholesale trade,2,total,D1108,21
Impact of not receiving full amount: no effect,Retail trade,1,total,D1108,6
Impact of not receiving full amount: no effect,Accommodation & food services,1,total,D1108,333
Impact of not receiving full amount: no effect,"Transport, postal, & warehousing",1,total,D1108,54
Impact of not receiving full amount: no effect,Information media & telecommunications,1,total,D1108,6
Impact of not receiving full amount: no effect,Publishing,2,total,D1108,0
Impact of not receiving full amount: no effect,Motion picture,2,total,D1108,0
Impact of not receiving full amount: no effect,Telecommunications,2,total,D1108,3
Impact of not receiving full amount: no effect,Financial & insurance services,1,total,D1108,12
Impact of not receiving full amount: no effect,Finance,2,total,D1108,3
Impact of not receiving full amount: no effect,Insurance,2,total,D1108,0
Impact of not receiving full amount: no effect,Auxiliary,2,total,D1108,9
Impact of not receiving full amount: no effect,"Rental, hiring, & real estate services",1,total,D1108,27
Impact of not receiving full amount: no effect,"Professional, scientific, & technical services",1,total,D1108,60
Impact of not receiving full amount: no effect,Computer systems design,2,total,D1108,9
Impact of not receiving full amount: no effect,Other professional scientific,2,total,D1108,54
Impact of not receiving full amount: no effect,Administrative & support services,1,total,D1108,39
Impact of not receiving full amount: no effect,Education & training,1,total,D1108,36
Impact of not receiving full amount: no effect,Health care & social assistance,1,total,D1108,66
Impact of not receiving full amount: no effect,Arts & recreation services,1,total,D1108,12
Impact of not receiving full amount: no effect,Other services,1,total,D1108,30
Impact of not receiving full amount: no effect,total,0,total,D1108,924
Who provided equity finance: individual(s) in control of the business,total,0,6–19 employees,D1201,1677
Who provided equity finance: individual(s) in control of the business,total,0,20–49 employees,D1201,453
Who provided equity finance: individual(s) in control of the business,total,0,50–99 employees,D1201,96
Who provided equity finance: individual(s) in control of the business,total,0,100+ employees,D1201,69
Who provided equity finance: individual(s) in control of the business,"Agriculture, forestry, & fishing",1,total,D1201,96
Who provided equity finance: individual(s) in control of the business,Agriculture,2,total,D1201,39
Who provided equity finance: individual(s) in control of the business,Commercial fishing,2,total,D1201,3
Who provided equity finance: individual(s) in control of the business,Forestry & logging,2,total,D1201,18
Who provided equity finance: individual(s) in control of the business,"Agriculture, forestry, & fishing support services",2,total,D1201,36
Who provided equity finance: individual(s) in control of the business,Mining,1,total,D1201,0
Who provided equity finance: individual(s) in control of the business,Manufacturing,1,total,D1201,306
Who provided equity finance: individual(s) in control of the business,"Food, beverage, & tobacco",2,total,D1201,117
Who provided equity finance: individual(s) in control of the business,"Textile, clothing, footwear, & leather",2,total,D1201,21
Who provided equity finance: individual(s) in control of the business,Wood & paper product,2,total,D1201,33
Who provided equity finance: individual(s) in control of the business,"Printing, publishing, & recorded media",2,total,D1201,9
Who provided equity finance: individual(s) in control of the business,"Petroleum, coal, chemical, & associated product",2,total,D1201,9
Who provided equity finance: individual(s) in control of the business,Non-metallic mineral product,2,total,D1201,15
Who provided equity finance: individual(s) in control of the business,Metal product,2,total,D1201,48
Who provided equity finance: individual(s) in control of the business,Transport and industrial machinery & equipment,2,total,D1201,27
Who provided equity finance: individual(s) in control of the business,Other machinery & equipment,2,total,D1201,15
Who provided equity finance: individual(s) in control of the business,Other manufacturing,2,total,D1201,12
Who provided equity finance: individual(s) in control of the business,"Electricity, gas, water, & waste services",1,total,D1201,9
Who provided equity finance: individual(s) in control of the business,Construction,1,total,D1201,378
Who provided equity finance: individual(s) in control of the business,Wholesale trade,1,total,D1201,114
Who provided equity finance: individual(s) in control of the business,Machinery & equipment wholesaling,2,total,D1201,9
Who provided equity finance: individual(s) in control of the business,Other wholesale trade,2,total,D1201,102
Who provided equity finance: individual(s) in control of the business,Retail trade,1,total,D1201,147
Who provided equity finance: individual(s) in control of the business,Accommodation & food services,1,total,D1201,597
Who provided equity finance: individual(s) in control of the business,"Transport, postal, & warehousing",1,total,D1201,42
Who provided equity finance: individual(s) in control of the business,Information media & telecommunications,1,total,D1201,15
Who provided equity finance: individual(s) in control of the business,Publishing,2,total,D1201,3
Who provided equity finance: individual(s) in control of the business,Motion picture,2,total,D1201,3
Who provided equity finance: individual(s) in control of the business,Telecommunications,2,total,D1201,6
Who provided equity finance: individual(s) in control of the business,Financial & insurance services,1,total,D1201,45
Who provided equity finance: individual(s) in control of the business,Finance,2,total,D1201,12
Who provided equity finance: individual(s) in control of the business,Insurance,2,total,D1201,3
Who provided equity finance: individual(s) in control of the business,Auxiliary,2,total,D1201,33
Who provided equity finance: individual(s) in control of the business,"Rental, hiring, & real estate services",1,total,D1201,45
Who provided equity finance: individual(s) in control of the business,"Professional, scientific, & technical services",1,total,D1201,177
Who provided equity finance: individual(s) in control of the business,Computer systems design,2,total,D1201,42
Who provided equity finance: individual(s) in control of the business,Other professional scientific,2,total,D1201,138
Who provided equity finance: individual(s) in control of the business,Administrative & support services,1,total,D1201,36
Who provided equity finance: individual(s) in control of the business,Education & training,1,total,D1201,51
Who provided equity finance: individual(s) in control of the business,Health care & social assistance,1,total,D1201,120
Who provided equity finance: individual(s) in control of the business,Arts & recreation services,1,total,D1201,42
Who provided equity finance: individual(s) in control of the business,Other services,1,total,D1201,75
Who provided equity finance: individual(s) in control of the business,total,0,total,D1201,2298
Who provided equity finance: friends or family of individual(s),total,0,6–19 employees,D1202,561
Who provided equity finance: friends or family of individual(s),total,0,20–49 employees,D1202,90
Who provided equity finance: friends or family of individual(s),total,0,50–99 employees,D1202,12
Who provided equity finance: friends or family of individual(s),total,0,100+ employees,D1202,3
Who provided equity finance: friends or family of individual(s),"Agriculture, forestry, & fishing",1,total,D1202,27
Who provided equity finance: friends or family of individual(s),Agriculture,2,total,D1202,27
Who provided equity finance: friends or family of individual(s),Commercial fishing,2,total,D1202,0
Who provided equity finance: friends or family of individual(s),Forestry & logging,2,total,D1202,0
Who provided equity finance: friends or family of individual(s),"Agriculture, forestry, & fishing support services",2,total,D1202,0
Who provided equity finance: friends or family of individual(s),Mining,1,total,D1202,0
Who provided equity finance: friends or family of individual(s),Manufacturing,1,total,D1202,36
Who provided equity finance: friends or family of individual(s),"Food, beverage, & tobacco",2,total,D1202,12
Who provided equity finance: friends or family of individual(s),"Textile, clothing, footwear, & leather",2,total,D1202,3
Who provided equity finance: friends or family of individual(s),Wood & paper product,2,total,D1202,6
Who provided equity finance: friends or family of individual(s),"Printing, publishing, & recorded media",2,total,D1202,0
Who provided equity finance: friends or family of individual(s),"Petroleum, coal, chemical, & associated product",2,total,D1202,0
Who provided equity finance: friends or family of individual(s),Non-metallic mineral product,2,total,D1202,6
Who provided equity finance: friends or family of individual(s),Metal product,2,total,D1202,0
Who provided equity finance: friends or family of individual(s),Transport and industrial machinery & equipment,2,total,D1202,9
Who provided equity finance: friends or family of individual(s),Other machinery & equipment,2,total,D1202,3
Who provided equity finance: friends or family of individual(s),Other manufacturing,2,total,D1202,0
Who provided equity finance: friends or family of individual(s),"Electricity, gas, water, & waste services",1,total,D1202,0
Who provided equity finance: friends or family of individual(s),Construction,1,total,D1202,81
Who provided equity finance: friends or family of individual(s),Wholesale trade,1,total,D1202,42
Who provided equity finance: friends or family of individual(s),Machinery & equipment wholesaling,2,total,D1202,0
Who provided equity finance: friends or family of individual(s),Other wholesale trade,2,total,D1202,39
Who provided equity finance: friends or family of individual(s),Retail trade,1,total,D1202,93
Who provided equity finance: friends or family of individual(s),Accommodation & food services,1,total,D1202,231
Who provided equity finance: friends or family of individual(s),"Transport, postal, & warehousing",1,total,D1202,0
Who provided equity finance: friends or family of individual(s),Information media & telecommunications,1,total,D1202,6
Who provided equity finance: friends or family of individual(s),Publishing,2,total,D1202,0
Who provided equity finance: friends or family of individual(s),Motion picture,2,total,D1202,0
Who provided equity finance: friends or family of individual(s),Telecommunications,2,total,D1202,3
Who provided equity finance: friends or family of individual(s),Financial & insurance services,1,total,D1202,6
Who provided equity finance: friends or family of individual(s),Finance,2,total,D1202,3
Who provided equity finance: friends or family of individual(s),Insurance,2,total,D1202,0
Who provided equity finance: friends or family of individual(s),Auxiliary,2,total,D1202,3
Who provided equity finance: friends or family of individual(s),"Rental, hiring, & real estate services",1,total,D1202,21
Who provided equity finance: friends or family of individual(s),"Professional, scientific, & technical services",1,total,D1202,60
Who provided equity finance: friends or family of individual(s),Computer systems design,2,total,D1202,9
Who provided equity finance: friends or family of individual(s),Other professional scientific,2,total,D1202,54
Who provided equity finance: friends or family of individual(s),Administrative & support services,1,total,D1202,9
Who provided equity finance: friends or family of individual(s),Education & training,1,total,D1202,0
Who provided equity finance: friends or family of individual(s),Health care & social assistance,1,total,D1202,27
Who provided equity finance: friends or family of individual(s),Arts & recreation services,1,total,D1202,6
Who provided equity finance: friends or family of individual(s),Other services,1,total,D1202,15
